order_id,customer_id,transaction_id,product_id,quantity,discount_amount,total_amount,order_date
1,1,1001,3,3,9.02,1300.12,2023-12-02
2,5,1002,4,3,17.74,353.99,2023-12-04
3,1,1003,5,2,14.78,389.16,2023-12-05
4,5,1004,5,3,11.93,593.98,2023-12-04
5,1,1005,3,2,13.74,859.02,2023-12-04
6,5,1006,3,2,1.76,871.0,2023-12-04
7,4,1007,1,3,4.31,261.04,2023-12-03
8,3,1008,5,4,11.54,796.34,2023-12-02
9,3,1009,5,1,15.26,186.71,2023-12-02
10,1,1010,3,2,11.59,861.17,2023-12-03
11,3,1011,4,5,16.66,602.89,2023-12-02
12,2,1012,5,4,1.1,806.78,2023-12-01
13,2,1013,1,5,7.7,434.55,2023-12-01
14,3,1014,5,2,5.77,398.17,2023-12-02
15,3,1015,2,5,15.61,1164.44,2023-12-05
16,1,1016,5,2,6.81,397.13,2023-12-03
17,4,1017,4,4,6.55,489.09,2023-12-05
18,1,1018,1,3,13.33,252.02,2023-12-03
19,4,1019,5,1,3.89,198.08,2023-12-01
20,2,1020,1,2,10.83,166.07,2023-12-04
21,3,1021,5,1,19.08,182.89,2023-12-01
22,2,1022,1,4,12.58,341.22,2023-12-04
23,2,1023,4,2,4.66,243.16,2023-12-04
24,2,1024,3,3,3.67,1305.47,2023-12-04
25,2,1025,4,3,13.84,357.89,2023-12-01
26,2,1026,2,2,13.09,458.93,2023-12-02
27,5,1027,3,4,18.17,1727.35,2023-12-05
28,5,1028,4,2,7.26,240.56,2023-12-02
29,4,1029,5,1,3.56,198.41,2023-12-02
30,5,1030,4,2,1.58,246.24,2023-12-01
31,2,1031,2,1,8.73,227.28,2023-12-02
32,2,1032,3,5,6.58,2175.32,2023-12-05
33,1,1033,4,5,18.07,601.48,2023-12-04
34,5,1034,4,4,5.69,489.95,2023-12-04
35,5,1035,5,1,0.41,201.56,2023-12-04
36,1,1036,3,4,8.57,1736.95,2023-12-01
37,5,1037,2,3,14.25,693.78,2023-12-04
38,1,1038,2,4,3.86,940.18,2023-12-01
39,1,1039,5,5,1.64,1008.21,2023-12-02
40,5,1040,4,2,1.71,246.11,2023-12-05
41,2,1041,2,5,16.61,1163.44,2023-12-01
42,3,1042,4,3,12.3,359.43,2023-12-01
43,2,1043,1,4,7.15,346.65,2023-12-02
44,1,1044,4,3,4.62,367.11,2023-12-04
45,5,1045,4,2,5.52,242.3,2023-12-01
46,4,1046,1,4,1.55,352.25,2023-12-02
47,1,1047,4,3,13.29,358.44,2023-12-01
48,4,1048,2,2,7.51,464.51,2023-12-03
49,4,1049,3,5,18.03,2163.87,2023-12-01
50,4,1050,5,4,1.21,806.67,2023-12-05
1,1,1001,3,3,9.02,1300.12,2023-12-02
2,5,1002,4,3,17.74,353.99,2023-12-04
3,1,1003,5,2,14.78,389.16,2023-12-05
4,5,1004,5,3,11.93,593.98,2023-12-04
5,1,1005,3,2,13.74,859.02,2023-12-04
6,5,1006,3,2,1.76,871.0,2023-12-04
7,4,1007,1,3,4.31,261.04,2023-12-03
8,3,1008,5,4,11.54,796.34,2023-12-02
9,3,1009,5,1,15.26,186.71,2023-12-02
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
10,1,1010,3,2,11.59,861.17,2023-12-03
11,3,1011,4,5,16.66,602.89,2023-12-02
12,2,1012,5,4,1.1,806.78,2023-12-01
13,2,1013,1,5,7.7,434.55,2023-12-01
14,3,1014,5,2,5.77,398.17,2023-12-02
15,3,1015,2,5,15.61,1164.44,2023-12-05
16,1,1016,5,2,6.81,397.13,2023-12-03
17,4,1017,4,4,6.55,489.09,2023-12-05
18,1,1018,1,3,13.33,252.02,2023-12-03
19,4,1019,5,1,3.89,198.08,2023-12-01
20,2,1020,1,2,10.83,166.07,2023-12-04
,,,,,,,
,,,,,,,
,,,,,,,
